timestamp,T1,H1,T2,H2,CO2,PM2.5,PM10,Prediction
2025-06-06 03:22:35,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:38,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:40,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:42,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:44,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:46,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:49,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:51,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:53,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:55,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:22:58,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:00,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:02,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:04,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:06,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:08,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:11,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:13,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:15,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:17,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:19,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:22,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:24,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:26,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:28,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:30,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:33,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:35,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:37,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:39,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:41,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:43,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:45,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:48,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:50,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:52,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:54,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:56,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:23:58,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:00,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:02,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:05,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:07,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:09,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:11,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:13,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:15,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:17,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:20,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:22,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:24,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:26,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:28,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:30,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:32,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:35,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:37,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:39,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:41,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:43,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:45,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:47,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:50,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:53,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:55,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:57,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:24:59,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:01,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:03,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:05,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:07,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:10,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:12,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:14,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:16,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:18,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:20,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:22,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:25,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:27,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:29,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:31,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:33,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:35,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:37,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:39,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:42,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:44,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:46,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:48,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:50,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:52,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:54,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:56,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:25:59,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:01,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:03,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:05,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:07,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:09,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:11,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:13,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:16,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:18,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:35,22.5,23.5,22.5,48.5,1317.0,0.0,9.56,Safe
2025-06-06 03:26:37,22.5,23.5,22.5,48.5,1011.0,260.78,209.95,Fire
2025-06-06 03:26:39,22.5,23.5,22.5,48.5,1011.0,260.78,209.95,Fire
2025-06-06 03:26:41,22.5,23.5,22.5,48.5,1218.0,260.78,209.95,Fire
2025-06-06 03:26:43,22.5,23.5,22.5,48.5,1218.0,94.6,209.95,Fire
2025-06-06 03:26:45,22.5,23.5,22.5,48.5,1218.0,94.6,27.16,Safe
2025-06-06 03:26:48,22.5,23.5,22.5,48.5,1218.0,94.6,27.16,Safe
2025-06-06 03:26:50,22.5,8.5,22.5,48.5,1218.0,94.6,27.16,Safe
2025-06-06 03:26:52,22.5,8.5,22.5,48.5,1218.0,94.6,27.16,Safe
2025-06-06 03:26:54,22.5,8.5,22.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:26:56,22.5,8.5,22.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:26:58,22.5,8.5,22.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:00,22.5,8.5,22.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:03,22.5,8.5,22.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:05,7.5,8.5,22.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:07,7.5,8.5,22.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:09,7.5,8.5,7.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:11,7.5,8.5,7.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:14,7.5,8.5,12.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:16,17.5,8.5,17.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:18,17.5,8.5,17.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:20,37.5,8.5,17.5,33.5,1218.0,94.6,27.16,Safe
2025-06-06 03:27:22,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:24,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:26,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:28,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:31,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:33,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:35,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:37,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:39,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:41,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:43,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:45,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:48,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:50,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:52,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:54,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:56,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:27:58,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:01,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:03,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:05,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:07,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:09,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:11,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:14,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:16,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:18,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:20,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:22,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:24,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:26,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:29,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:31,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:33,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:35,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:37,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:39,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:41,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:43,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:46,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:48,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:50,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:52,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:54,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:56,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:28:58,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:00,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:03,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:06,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:08,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:10,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:12,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:14,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:16,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:19,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:21,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:23,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:25,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:27,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:29,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:31,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:33,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:35,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:38,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:40,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:42,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:44,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:46,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:48,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:50,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:52,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:55,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:57,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:29:59,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:30:01,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
2025-06-06 03:30:03,37.5,8.5,47.5,33.5,1218.0,94.6,27.16,Fire
